event
Setup
SMSApi
System
OAlerts
Analytic
Security
WMPSetup
Navigator
Uac/Debug
muxencode
AMSI/Debug
TimeBroker
Application
OneApp_IGCC
DebugChannel
OpenSSH/Admin
OpenSSH/Debug
WMPSyncEngine
EndpointMapper
HardwareEvents
SmbWmiAnalytic
ForwardedEvents
IHM_DebugChannel
Internet Explorer
MediaFoundationDS
UIManager_Channel
MediaFoundationMP4
SystemEventsBroker
WINDOWS_KS_CHANNEL
Windows PowerShell
Intel-SST-BUS/Debug
OpenSSH/Operational
RTWorkQueueExtended
RTWorkQueueTheading
FirstUXPerf-Analytic
IntelAudioServiceLog
PRTG Network Monitor
DirectShowFilterGraph
Intel-GFX-Info/System
Key Management Service
WINDOWS_VC1ENC_CHANNEL
DirectShowPluginControl
Intel-iaLPSS2-I2C/Debug
MedaFoundationVideoProc
MediaFoundationPipeline
MediaFoundationPlatform
Microsoft-IE/Diagnostic
WINDOWS_WMPHOTO_CHANNEL
Els_Hyphenation/Analytic
Microsoft-Windows-Backup
OSK_SoftKeyboard_Channel
WINDOWS_MP4SDECD_CHANNEL
WINDOWS_wmvdecod_CHANNEL
Intel-iaLPSS-I2C/Analytic
Intel-iaLPSS2-GPIO2/Debug
Microsoft-Windows-ntshrui
NIS-Driver-WFP/Diagnostic
WINDOWS_MFH264Enc_CHANNEL
Intel-GFX-Info/Application
Intel-SST-CFD-HDA/IntelSST
Intel-iaLPSS-GPIO/Analytic
MedaFoundationVideoProcD3D
MediaFoundationDeviceProxy
MediaFoundationMediaEngine
MediaFoundationPerformance
MediaFoundationSrcPrefetch
Microsoft-Windows-COM/Call
Microsoft-Windows-Ntfs/WHC
MF_MediaFoundationDeviceMFT
MediaFoundationAsyncWrapper
Microsoft-AppV-Client/Admin
Microsoft-AppV-Client/Debug
Microsoft-Windows-DSC/Admin
Microsoft-Windows-DSC/Debug
Microsoft-Windows-EFS/Debug
Microsoft-Windows-FMS/Debug
Microsoft-Windows-HAL/Debug
Microsoft-Windows-MUI/Admin
Microsoft-Windows-MUI/Debug
Microsoft-Windows-RPC/Debug
PlayReadyPerformanceChannel
TabletPC_InputPanel_Channel
WINDOWS_MSMPEG2ADEC_CHANNEL
WINDOWS_MSMPEG2VDEC_CHANNEL
Microsoft-IEFRAME/Diagnostic
Microsoft-Windows-ADSI/Debug
Microsoft-Windows-AppSruProv
Microsoft-Windows-RPC/EEInfo
Microsoft-Windows-RRAS/Debug
Microsoft-Windows-Sens/Debug
Microsoft-Windows-WUSA/Debug
Microsoft-Windows-WinMDE/MDE
Intel-iaLPSS2-I2C/Performance
MF_MediaFoundationDeviceProxy
MF_MediaFoundationFrameServer
Microsoft-Windows-Sdbus/Debug
Microsoft-Windows-Win32k/UIPI
Microsoft-Windows-WinNat/Oper
Microsoft-Windows-WinRM/Debug
Microsoft-Windows-glcnd/Admin
Microsoft-Windows-glcnd/Debug
Network Isolation Operational
MediaFoundationPerformanceCore
Microsoft-Windows-AAD/Analytic
Microsoft-Windows-COM/Analytic
Microsoft-Windows-DSC/Analytic
Microsoft-Windows-DXGI/Logging
Microsoft-Windows-DXP/Analytic
Microsoft-Windows-FMS/Analytic
Microsoft-Windows-IKEDBG/Debug
Microsoft-Windows-MUI/Analytic
Microsoft-Windows-OLEACC/Debug
Microsoft-Windows-TunnelDriver
Microsoft-Windows-WFP/Analytic
Microsoft-Windows-Win32k/Power
Microsoft-Windows-WinNat/Trace
Microsoft-Windows-XAML/Default
Microsoft-Windows-ntshrui-perf
Intel-SST-OED/IntcOED_ETW_Debug
Intel-iaLPSS2-GPIO2/Performance
Microsoft-JSDumpHeap/Diagnostic
Microsoft-Windows-AllJoyn/Debug
Microsoft-Windows-AppHost/Admin
Microsoft-Windows-DXGI/Analytic
Microsoft-Windows-DiagCpl/Debug
Microsoft-Windows-DxgKrnl-Admin
Microsoft-Windows-DxgKrnl/Power
Microsoft-Windows-EapHost/Debug
Microsoft-Windows-MSPaint/Admin
Microsoft-Windows-MSPaint/Debug
Microsoft-Windows-NCSI/Analytic
Microsoft-Windows-Runtime/Error
Microsoft-Windows-Sensors/Debug
Microsoft-Windows-SrumTelemetry
Microsoft-Windows-Win32k/Render
Microsoft-Windows-Wordpad/Admin
Microsoft-Windows-Wordpad/Debug
Microsoft-Windows-XAudio2/Debug
TabletPC_InputPanel_Channel/IHM
MediaFoundationContentProtection
Microsoft-OneCore-Setup/Analytic
Microsoft-Windows-Audit/Analytic
Microsoft-Windows-ComDlg32/Debug
Microsoft-Windows-DUI/Diagnostic
Microsoft-Windows-Data-Pdf/Debug
Microsoft-Windows-ESE/IODiagnose
Microsoft-Windows-EventLog/Debug
Microsoft-Windows-IE-SmartScreen
Microsoft-Windows-Iphlpsvc/Debug
Microsoft-Windows-Iphlpsvc/Trace
Microsoft-Windows-LSA/Diagnostic
Microsoft-Windows-Minstore/Debug
Microsoft-Windows-Ndu/Diagnostic
Microsoft-Windows-PCI/Diagnostic
Microsoft-Windows-PrintBRM/Admin
Microsoft-Windows-Sdbus/Analytic
Microsoft-Windows-Setup/Analytic
Microsoft-Windows-Shell-Shwebsvc
Microsoft-Windows-TTS/Diagnostic
Microsoft-Windows-VAN/Diagnostic
Microsoft-Windows-VHDMP-Analytic
Microsoft-Windows-Win32k/Tracing
Microsoft-Windows-WinML/Analytic
Microsoft-Windows-WinRM/Analytic
Microsoft-Windows-osk/Diagnostic
Microsoft-Windows-wmbclass/Trace
Microsoft-AppV-Client/Operational
Microsoft-Windows-AAD/Operational
Microsoft-Windows-ATAPort/General
Microsoft-Windows-BTH-BTHPORT/HCI
Microsoft-Windows-DAMM/Diagnostic
Microsoft-Windows-DCLocator/Debug
Microsoft-Windows-DSC/Operational
Microsoft-Windows-ESE/Operational
Microsoft-Windows-FMS/Operational
Microsoft-Windows-HttpService/Log
Microsoft-Windows-IKE/Operational
Microsoft-Windows-IPxlatCfg/Debug
Microsoft-Windows-L2NA/Diagnostic
Microsoft-Windows-LSA/Operational
Microsoft-Windows-LSA/Performance
Microsoft-Windows-LiveId/Analytic
Microsoft-Windows-MUI/Operational
Microsoft-Windows-NDIS/Diagnostic
Microsoft-Windows-OneBackup/Debug
Microsoft-Windows-OneX/Diagnostic
Microsoft-Windows-Policy/Analytic
Microsoft-Windows-QoS-qWAVE/Debug
Microsoft-Windows-RPC-Proxy/Debug
Microsoft-Windows-SMBDirect/Admin
Microsoft-Windows-SMBDirect/Debug
Microsoft-Windows-SMBServer/Audit
Microsoft-Windows-Sdstor/Analytic
Microsoft-Windows-Servicing/Debug
Microsoft-Windows-SmbClient/Audit
Microsoft-Windows-Superfetch/Main
Microsoft-Windows-TSF-msctf/Debug
Microsoft-Windows-TSF-msutb/Debug
Microsoft-Windows-TZSync/Analytic
Microsoft-Windows-UAC/Operational
Microsoft-Windows-VPN/Operational
Microsoft-Windows-WCNWiz/Analytic
Microsoft-Windows-WFP/Operational
Microsoft-Windows-Win32k/Messages
Microsoft-Windows-Winsrv/Analytic
Microsoft-Windows-WorkFolders/WHC
Physical_Keyboard_Manager_Channel
Microsoft-Windows-ASN1/Operational
Microsoft-Windows-ATAPort/SATA-LPM
Microsoft-Windows-AppHost/Internal
Microsoft-Windows-CloudStore/Debug
Microsoft-Windows-CoreWindow/Debug
Microsoft-Windows-DDisplay/Logging
Microsoft-Windows-DUSER/Diagnostic
Microsoft-Windows-Disk/Operational
Microsoft-Windows-EapHost/Analytic
Microsoft-Windows-Forwarding/Debug
Microsoft-Windows-Help/Operational
Microsoft-Windows-IME-TIP/Analytic
Microsoft-Windows-IPNAT/Diagnostic
Microsoft-Windows-IdCtrls/Analytic
Microsoft-Windows-Kernel-WDI/Debug
Microsoft-Windows-NCSI/Operational
Microsoft-Windows-NDIS/Operational
Microsoft-Windows-NTLM/Operational
Microsoft-Windows-NWiFi/Diagnostic
Microsoft-Windows-Ntfs/Operational
Microsoft-Windows-Ntfs/Performance
Microsoft-Windows-OneX/Operational
Microsoft-Windows-OobeLdr/Analytic
Microsoft-Windows-PowerShell/Admin
Microsoft-Windows-PowerShell/Debug
Microsoft-Windows-RRAS/Operational
Microsoft-Windows-ReFS/Operational
Microsoft-Windows-RetailDemo/Admin
Microsoft-Windows-SMBDirect/Netmon
Microsoft-Windows-SetupCl/Analytic
Microsoft-Windows-Sysprep/Analytic
Microsoft-Windows-TCPIP/Diagnostic
Microsoft-Windows-USB-UCX-Analytic
Microsoft-Windows-VWiFi/Diagnostic
Microsoft-Windows-WPD-API/Analytic
Microsoft-Windows-WebIO/Diagnostic
Microsoft-Windows-WinINet/Analytic
Microsoft-Windows-WinINet/UsageLog
Microsoft-Windows-WlanDlg/Analytic
Microsoft-Windows-glcnd/Diagnostic
Microsoft-Windows-AppID/Operational
